TCGplayer Id,Product Line,Set Name,Product Name,Title,Number,Rarity,Condition,TCG Market Price,TCG Direct Low,TCG Low Price With Shipping,TCG Low Price,Total Quantity,Add to Quantity,TCG Marketplace Price,Photo URL
4868613,Magic,Strixhaven: School of Mages,Body of Research,,168,M,Near Mint,0.72,0.89,1.24,0.25,1,0,0.88,
4867330,Magic,Strixhaven: School of Mages,Bookwurm,,123,U,Near Mint,0.07,0.03,1.02,0.03,4,0,0.18,
4871348,Magic,Strixhaven: School of Mages,Brackish Trudge,,65,U,Near Mint,0.02,0.01,1,0.01,8,0,0.18,
4871353,Magic,Strixhaven: School of Mages,Brackish Trudge,,65,U,Near Mint Foil,0.05,0.03,1,0.01,1,0,0.18,
4870145,Magic,Strixhaven: School of Mages,Burrog Befuddler,,38,C,Near Mint,0.02,,1,0.01,17,0,0.18,
4852537,Magic,Strixhaven: School of Mages,Bury in Books,,39,C,Near Mint,0.02,,1,0.01,16,0,0.18,
4852542,Magic,Strixhaven: School of Mages,Bury in Books,,39,C,Near Mint Foil,0.02,,1,0.01,1,0,0.18,
4874938,Magic,Strixhaven: School of Mages,Callous Bloodmage,,66,R,Near Mint,0.19,,1.14,0.15,3,0,0.18,
4874943,Magic,Strixhaven: School of Mages,Callous Bloodmage,,66,R,Near Mint Foil,0.33,,1.2,0.1,1,0,0.21,
4852867,Magic,Strixhaven: School of Mages,Campus Guide,,252,C,Near Mint,0.02,0.02,1,0.01,15,0,0.18,
4866005,Magic,Strixhaven: School of Mages,Charge Through,,124,C,Near Mint,0.1,0.1,1.08,0.09,13,0,0.18,
4866010,Magic,Strixhaven: School of Mages,Charge Through,,124,C,Near Mint Foil,0.18,,1.1,0.1,1,0,0.18,
4857412,Magic,Strixhaven: School of Mages,Clever Lumimancer,,10,U,Near Mint,0.06,0.01,1,0.01,6,0,0.18,
4866780,Magic,Strixhaven: School of Mages,Closing Statement,,169,U,Near Mint,0.03,0.01,1,0.01,5,0,0.18,
4853237,Magic,Strixhaven: School of Mages,"Codie, Vociferous Codex",,253,R,Near Mint,0.2,0.18,1.09,0.1,3,0,0.18,
4860141,Magic,Strixhaven: School of Mages,Cogwork Archivist,,254,C,Near Mint,0.03,0.01,1,0.01,15,0,0.18,
4853127,Magic,Strixhaven: School of Mages,Combat Professor,,11,C,Near Mint,0.03,,1,0.01,16,0,0.18,
4853132,Magic,Strixhaven: School of Mages,Combat Professor,,11,C,Near Mint Foil,0.04,,1,0.01,1,0,0.18,
4838096,Magic,Strixhaven: School of Mages,Confront the Past,,67,R,Near Mint,0.09,,1.04,0.05,4,0,0.18,
4865235,Magic,Strixhaven: School of Mages,Conspiracy Theorist,,94,R,Near Mint,0.23,,1.14,0.15,3,0,0.18,
4872118,Magic,Strixhaven: School of Mages,Containment Breach,,125,U,Near Mint,0.05,,1.01,0.01,5,0,0.18,
4865895,Magic,Strixhaven: School of Mages,Crackle with Power,,95,M,Near Mint,10.18,11.96,10.25,10.25,2,0,11.95,
4878238,Magic,Strixhaven: School of Mages,Cram Session,,170,C,Near Mint,0.02,0.01,1,0.01,15,0,0.18,
4878243,Magic,Strixhaven: School of Mages,Cram Session,,170,C,Near Mint Foil,0.08,,1.03,0.03,1,0,0.18,
4854212,Magic,Strixhaven: School of Mages,Creative Outburst,,171,U,Near Mint,0.11,,1.04,0.05,5,0,0.18,
4862575,Magic,Strixhaven: School of Mages,Crushing Disappointment,,68,C,Near Mint,0.04,0.01,1,0.01,15,0,0.18,
4862580,Magic,Strixhaven: School of Mages,Crushing Disappointment,,68,C,Near Mint Foil,0.12,0.01,1,0.01,1,0,0.18,
4878428,Magic,Strixhaven: School of Mages,Culling Ritual,,172,R,Near Mint,0.7,0.85,1.48,0.49,3,0,0.84,
4857082,Magic,Strixhaven: School of Mages,Culmination of Studies,,173,R,Near Mint,0.08,,1.03,0.04,1,0,0.18,
4852647,Magic,Strixhaven: School of Mages,Curate,,40,C,Near Mint,0.04,,1.01,0.02,18,0,0.18,
4872008,Magic,Strixhaven: School of Mages,Daemogoth Titan,,174,R,Near Mint,0.25,0.19,1.09,0.1,3,0,0.19,
4878648,Magic,Strixhaven: School of Mages,Daemogoth Woe-Eater,,175,U,Near Mint,0.14,0.1,1.08,0.09,6,0,0.18,
4878758,Magic,Strixhaven: School of Mages,Deadly Brew,,176,U,Near Mint,0.18,0.1,1.1,0.1,5,0,0.18,
4869053,Magic,Strixhaven: School of Mages,Decisive Denial,,177,U,Near Mint,0.22,,1.14,0.15,6,0,0.18,
4869058,Magic,Strixhaven: School of Mages,Decisive Denial,,177,U,Near Mint Foil,0.27,,1.19,0.2,1,0,0.2,
4856972,Magic,Strixhaven: School of Mages,Defend the Campus,,12,C,Near Mint,0.02,0.01,1,0.01,15,0,0.18,
4867110,Magic,Strixhaven: School of Mages,Detention Vortex,,13,U,Near Mint,0.01,,1,0.01,11,0,0.18,
4867885,Magic,Strixhaven: School of Mages,Devastating Mastery,,14,R,Near Mint,0.11,,1.05,0.06,2,0,0.18,
4875928,Magic,Strixhaven: School of Mages,Devouring Tendrils,,126,U,Near Mint,0.07,0.06,1.04,0.04,5,0,0.18,
4873168,Magic,Strixhaven: School of Mages,"Dina, Soul Steeper",,178,U,Near Mint,0.19,0.1,1.08,0.09,5,0,0.18,
4876038,Magic,Strixhaven: School of Mages,Divide by Zero,,41,U,Near Mint,0.07,0.03,1.02,0.03,10,0,0.18,
4876043,Magic,Strixhaven: School of Mages,Divide by Zero,,41,U,Near Mint Foil,0.27,0.24,1.19,0.2,1,0,0.24,
4866115,Magic,Strixhaven: School of Mages,Double Major,,179,R,Near Mint,2.74,4.18,1.89,0.9,2,0,4.17,
4865675,Magic,Strixhaven: School of Mages,Draconic Intervention,,96,R,Near Mint,0.15,,1.09,0.1,4,0,0.18,
4865345,Magic,Strixhaven: School of Mages,Dragon's Approach,,97,C,Near Mint,2.74,2.38,3.33,2.34,16,0,2.37,
4865350,Magic,Strixhaven: School of Mages,Dragon's Approach,,97,C,Near Mint Foil,3.55,3.51,3.84,2.85,1,0,3.5,
4837236,Magic,Strixhaven: School of Mages,Dragonsguard Elite,,127,R,Near Mint,0.11,,1.05,0.06,2,0,0.18,
4878868,Magic,Strixhaven: School of Mages,Dramatic Finale,,180,R,Near Mint,0.14,,1.09,0.1,1,0,0.18,
4878873,Magic,Strixhaven: School of Mages,Dramatic Finale,,180,R,Near Mint Foil,0.25,,1.16,0.17,1,0,0.18,
4869923,Magic,Strixhaven: School of Mages,Dream Strix,,42,R,Near Mint,0.06,0.06,1.03,0.04,1,0,0.18,
4850107,Magic,Strixhaven: School of Mages,Dueling Coach,,15,U,Near Mint,0.02,0.01,1,0.01,9,0,0.18,
4837126,Magic,Strixhaven: School of Mages,Eager First-Year,,16,C,Near Mint,0.02,,1,0.01,19,0,0.18,
4837131,Magic,Strixhaven: School of Mages,Eager First-Year,,16,C,Near Mint Foil,0.02,,1,0.01,1,0,0.18,
4859367,Magic,Strixhaven: School of Mages,Ecological Appreciation,,128,M,Near Mint,0.42,0.49,1.19,0.2,1,0,0.49,
4851727,Magic,Strixhaven: School of Mages,Efreet Flamepainter,,98,R,Near Mint,0.12,,1.04,0.05,2,0,0.18,
4861915,Magic,Strixhaven: School of Mages,Elemental Expressionist,,181,R,Near Mint,0.05,0.05,1.03,0.04,2,0,0.18,
4861920,Magic,Strixhaven: School of Mages,Elemental Expressionist,,181,R,Near Mint Foil,0.17,0.1,1.09,0.1,1,0,0.18,
4859811,Magic,Strixhaven: School of Mages,Elemental Masterpiece,,182,C,Near Mint,0.04,,1,0.01,18,0,0.18,
4862025,Magic,Strixhaven: School of Mages,Elemental Summoning,,183,C,Near Mint,0.02,0.01,1,0.01,18,0,0.18,
4899089,Magic,Strixhaven: School of Mages,Elemental Token,,2,T,Near Mint,0.11,0.09,1.06,0.07,21,0,0.18,
4849387,Magic,Strixhaven: School of Mages,Elite Spellbinder,,17,R,Near Mint,0.15,0.13,1.09,0.1,3,0,0.18,
4913649,Magic,Strixhaven: School of Mages,"Emblem - Lukka, Wayward Bonder",,8,T,Near Mint,0.25,,1.18,0.19,3,0,0.19,
4913719,Magic,Strixhaven: School of Mages,"Emblem - Rowan, Scholar of Sparks",,9,T,Near Mint,0.17,,1.04,0.05,3,0,0.18,
4860911,Magic,Strixhaven: School of Mages,Emergent Sequence,,129,U,Near Mint,0.11,0.08,1.07,0.08,6,0,0.18,
4860916,Magic,Strixhaven: School of Mages,Emergent Sequence,,129,U,Near Mint Foil,0.2,,1.14,0.15,1,0,0.18,
4847317,Magic,Strixhaven: School of Mages,Enthusiastic Study,,99,C,Near Mint,0.03,,1,0.01,12,0,0.18,
4847767,Magic,Strixhaven: School of Mages,Environmental Sciences,,1,C,Near Mint,0.11,0.1,1.04,0.04,18,0,0.18,
4864905,Magic,Strixhaven: School of Mages,Essence Infusion,,69,C,Near Mint,0.02,,1,0.01,20,0,0.18,
4860801,Magic,Strixhaven: School of Mages,Eureka Moment,,184,C,Near Mint,0.14,,1.08,0.09,15,0,0.18,
4874548,Magic,Strixhaven: School of Mages,Excavated Wall,,255,C,Near Mint,0.02,0.01,1,0.01,17,0,0.18,
4878978,Magic,Strixhaven: School of Mages,Exhilarating Elocution,,185,C,Near Mint,0.02,0.01,1,0.01,16,0,0.18,
4840201,Magic,Strixhaven: School of Mages,Expanded Anatomy,,2,C,Near Mint,0.02,0.01,1,0.01,22,0,0.18,
4840206,Magic,Strixhaven: School of Mages,Expanded Anatomy,,2,C,Near Mint Foil,0.08,,1.02,0.03,1,0,0.18,
4864575,Magic,Strixhaven: School of Mages,Expel,,18,C,Near Mint,0.03,0.01,1,0.01,15,0,0.18,
4855462,Magic,Strixhaven: School of Mages,Explosive Welcome,,100,U,Near Mint,0.03,0.01,1,0.01,6,0,0.18,
4870688,Magic,Strixhaven: School of Mages,Exponential Growth,,130,R,Near Mint,0.27,,1.22,0.23,1,0,0.23,
4862135,Magic,Strixhaven: School of Mages,Expressive Iteration,,186,U,Near Mint,0.86,0.73,1.62,0.63,7,0,0.72,
4857522,Magic,Strixhaven: School of Mages,"Extus, Oriq Overlord",,149,M,Near Mint,0.34,0.25,1.24,0.25,1,0,0.25,
4862685,Magic,Strixhaven: School of Mages,Eyetwitch,,70,U,Near Mint,0.11,,1.09,0.1,6,0,0.18,
4860691,Magic,Strixhaven: School of Mages,Fervent Mastery,,101,R,Near Mint,0.11,,1.03,0.04,2,0,0.18,
4847437,Magic,Strixhaven: School of Mages,Field Trip,,131,C,Near Mint,0.02,,1,0.01,20,0,0.18,
4847442,Magic,Strixhaven: School of Mages,Field Trip,,131,C,Near Mint Foil,0.04,0.01,1,0.01,1,0,0.18,
4840316,Magic,Strixhaven: School of Mages,First Day of Class,,102,C,Near Mint,0.16,,1.1,0.11,16,0,0.18,
4840321,Magic,Strixhaven: School of Mages,First Day of Class,,102,C,Near Mint Foil,0.27,,1.13,0.14,1,0,0.18,
4854102,Magic,Strixhaven: School of Mages,Flamescroll Celebrant,,150,R,Near Mint,0.14,,1.05,0.06,4,0,0.18,
4876808,Magic,Strixhaven: School of Mages,Flunk,,71,U,Near Mint,0.04,,1,0.01,5,0,0.18,
4855572,Magic,Strixhaven: School of Mages,Fortifying Draught,,132,U,Near Mint,0.06,,1.01,0.02,8,0,0.18,
4868325,Magic,Strixhaven: School of Mages,Fractal Summoning,,187,C,Near Mint,0.03,0.01,1,0.01,17,0,0.18,
4868330,Magic,Strixhaven: School of Mages,Fractal Summoning,,187,C,Near Mint Foil,0.04,0.02,1,0.01,1,0,0.18,
4899149,Magic,Strixhaven: School of Mages,Fractal Token,,3,T,Near Mint,0.15,0.13,1.12,0.13,16,0,0.18,
4879088,Magic,Strixhaven: School of Mages,Fracture,,188,U,Near Mint,1.26,1.43,1.89,0.9,5,0,1.42,
4858182,Magic,Strixhaven: School of Mages,Frost Trickster,,43,C,Near Mint,0.03,0.01,1,0.01,15,0,0.18,
4838256,Magic,Strixhaven: School of Mages,Frostboil Snarl,,265,R,Near Mint,0.26,0.25,1.14,0.15,1,0,0.25,
4838261,Magic,Strixhaven: School of Mages,Frostboil Snarl,,265,R,Near Mint Foil,0.72,0.42,1.41,0.42,1,0,0.42,
4865785,Magic,Strixhaven: School of Mages,Fuming Effigy,,103,C,Near Mint,0.06,,1,0.01,19,0,0.18,
4838376,Magic,Strixhaven: School of Mages,Furycalm Snarl,,266,R,Near Mint,0.19,0.2,1.17,0.18,2,0,0.2,
4862905,Magic,Strixhaven: School of Mages,Galazeth Prismari,,189,M,Near Mint,3.06,3.48,3.35,2.36,1,0,3.47,
4876368,Magic,Strixhaven: School of Mages,Gnarled Professor,,133,R,Near Mint,0.09,,1,0.01,4,0,0.18,
4851597,Magic,Strixhaven: School of Mages,Go Blank,,72,U,Near Mint,0.26,0.28,1.14,0.15,6,0,0.28,
4858922,Magic,Strixhaven: School of Mages,Golden Ratio,,190,U,Near Mint,0.03,0.01,1,0.01,10,0,0.18,
4862245,Magic,Strixhaven: School of Mages,Grinning Ignus,,104,U,Near Mint,0.05,,1.05,0.06,5,0,0.18,
4847097,Magic,Strixhaven: School of Mages,Guiding Voice,,19,C,Near Mint,0.03,0.01,1,0.01,16,0,0.18,
4862795,Magic,Strixhaven: School of Mages,Hall Monitor,,105,U,Near Mint,0.03,,1,0.01,6,0,0.18,
4859032,Magic,Strixhaven: School of Mages,Hall of Oracles,,267,R,Near Mint,0.26,,1.19,0.2,4,0,0.2,
4873498,Magic,Strixhaven: School of Mages,Harness Infinity,,191,M,Near Mint,0.26,0.26,1.23,0.24,1,0,0.26,
4852097,Magic,Strixhaven: School of Mages,Heated Debate,,106,C,Near Mint,0.02,,1,0.01,20,0,0.18,
4927065,Magic,Strixhaven: School of Mages,Helper Card - 1/9,,1,S,Near Mint,0.18,,1.14,0.15,2,0,0.18,
4927070,Magic,Strixhaven: School of Mages,Helper Card - 2/9,,2,S,Near Mint,0.23,,1.19,0.2,3,0,0.2,
4927075,Magic,Strixhaven: School of Mages,Helper Card - 3/9,,3,S,Near Mint,0.33,,1.19,0.2,2,0,0.2,
4927080,Magic,Strixhaven: School of Mages,Helper Card - 4/9,,4,S,Near Mint,0.23,,1.1,0.11,4,0,0.18,
4927085,Magic,Strixhaven: School of Mages,Helper Card - 5/9,,5,S,Near Mint,0.27,0.2,1.14,0.15,2,0,0.2,
4927090,Magic,Strixhaven: School of Mages,Helper Card - 6/9,,6,S,Near Mint,0.17,,1.14,0.15,3,0,0.18,
4927095,Magic,Strixhaven: School of Mages,Helper Card - 7/9,,7,S,Near Mint,0.19,,1.09,0.1,4,0,0.18,
4927100,Magic,Strixhaven: School of Mages,Helper Card - 8/9,,8,S,Near Mint,0.17,0.18,1.13,0.14,3,0,0.18,
4927106,Magic,Strixhaven: School of Mages,Helper Card - 9/9,,9,S,Near Mint,0.2,,1.12,0.13,4,0,0.18,
4852317,Magic,Strixhaven: School of Mages,Hofri Ghostforge,,192,M,Near Mint,1.18,1.3,1.48,0.49,2,0,1.29,
4872228,Magic,Strixhaven: School of Mages,Honor Troll,,134,U,Near Mint,0.05,0.04,1.01,0.02,7,0,0.18,
4872233,Magic,Strixhaven: School of Mages,Honor Troll,,134,U,Near Mint Foil,0.12,,1,0.01,1,0,0.18,
4879198,Magic,Strixhaven: School of Mages,Humiliate,,193,U,Near Mint,0.04,0.01,1,0.01,6,0,0.18,
4872338,Magic,Strixhaven: School of Mages,Hunt for Specimens,,73,C,Near Mint,0.03,0.01,1,0.01,15,0,0.18,
4872343,Magic,Strixhaven: School of Mages,Hunt for Specimens,,73,C,Near Mint Foil,0.07,0.03,1,0.01,1,0,0.18,
4856712,Magic,Strixhaven: School of Mages,Igneous Inspiration,,107,U,Near Mint,0.02,0.01,1,0.01,5,0,0.18,
4851267,Magic,Strixhaven: School of Mages,Illuminate History,,108,R,Near Mint,0.08,,1.04,0.04,3,0,0.18,
4853457,Magic,Strixhaven: School of Mages,Illustrious Historian,,109,C,Near Mint,0.01,,1,0.01,13,0,0.18,
4874438,Magic,Strixhaven: School of Mages,Infuse with Vitality,,194,C,Near Mint,0.06,0.05,1.04,0.05,17,0,0.18,
4878538,Magic,Strixhaven: School of Mages,Ingenious Mastery,,44,R,Near Mint,0.11,,1.09,0.1,2,0,0.18,
4864355,Magic,Strixhaven: School of Mages,Inkling Summoning,,195,C,Near Mint,0.03,,1,0.01,18,0,0.18,
4899209,Magic,Strixhaven: School of Mages,Inkling Token,,4,T,Near Mint,0.19,,1.12,0.13,18,0,0.18,
4841236,Magic,Strixhaven: School of Mages,Introduction to Annihilation,,3,C,Near Mint,0.15,0.11,1.07,0.08,19,0,0.18,
4841101,Magic,Strixhaven: School of Mages,Introduction to Prophecy,,4,C,Near Mint,0.1,0.09,1.03,0.04,17,0,0.18,
4872448,Magic,Strixhaven: School of Mages,"Jadzi, Oracle of Arcavios",,151,M,Near Mint,0.55,0.54,1.38,0.39,1,0,0.53,
4868215,Magic,Strixhaven: School of Mages,Karok Wrangler,,135,U,Near Mint,0.02,0.01,1,0.01,9,0,0.18,
4858702,Magic,Strixhaven: School of Mages,Kelpie Guide,,45,U,Near Mint,0.18,0.1,1.16,0.17,6,0,0.18,
4858707,Magic,Strixhaven: School of Mages,Kelpie Guide,,45,U,Near Mint Foil,0.27,,1.24,0.25,1,0,0.25,
4840876,Magic,Strixhaven: School of Mages,"Kianne, Dean of Substance",,152,R,Near Mint,0.07,,1.02,0.03,3,0,0.18,
4879308,Magic,Strixhaven: School of Mages,"Killian, Ink Duelist",,197,U,Near Mint,0.34,,1.25,0.26,6,0,0.26,
4879313,Magic,Strixhaven: School of Mages,"Killian, Ink Duelist",,197,U,Near Mint Foil,0.42,,1.4,0.41,1,0,0.41,
4877138,Magic,Strixhaven: School of Mages,Lash of Malice,,74,C,Near Mint,0.02,0.01,1,0.01,17,0,0.18,
4872728,Magic,Strixhaven: School of Mages,Leech Fanatic,,75,C,Near Mint,0.02,0.01,1,0.01,16,0,0.18,
4872733,Magic,Strixhaven: School of Mages,Leech Fanatic,,75,C,Near Mint Foil,0.01,0.01,1,0.01,1,0,0.18,
4860471,Magic,Strixhaven: School of Mages,Leonin Lightscribe,,20,R,Near Mint,0.24,0.21,1.22,0.23,2,0,0.21,
4867555,Magic,Strixhaven: School of Mages,Letter of Acceptance,,256,C,Near Mint,0.04,,1.02,0.03,17,0,0.18,
4868943,Magic,Strixhaven: School of Mages,Leyline Invocation,,136,C,Near Mint,0.03,,1,0.01,20,0,0.18,
4836906,Magic,Strixhaven: School of Mages,Lorehold Apprentice,,198,U,Near Mint,0.05,,1,0.01,9,0,0.18,
4836911,Magic,Strixhaven: School of Mages,Lorehold Apprentice,,198,U,Near Mint Foil,0.11,,1.04,0.05,1,0,0.18,
4851487,Magic,Strixhaven: School of Mages,Lorehold Campus,,268,C,Near Mint,0.07,0.03,1.02,0.03,16,0,0.18,
4784538,Magic,Strixhaven: School of Mages,Lorehold Command,,199,R,Near Mint,0.19,,1.14,0.15,3,0,0.18,
4850937,Magic,Strixhaven: School of Mages,Lorehold Excavation,,200,U,Near Mint,0.03,0.01,1,0.01,11,0,0.18,
4851377,Magic,Strixhaven: School of Mages,Lorehold Pledgemage,,201,C,Near Mint,0.03,,1,0.01,15,0,0.18,
4863235,Magic,Strixhaven: School of Mages,Maelstrom Muse,,202,U,Near Mint,0.02,0.01,1,0.01,5,0,0.18,
4875048,Magic,Strixhaven: School of Mages,Mage Duel,,137,C,Near Mint,0.02,0.01,1,0.01,17,0,0.18,
4875053,Magic,Strixhaven: School of Mages,Mage Duel,,137,C,Near Mint Foil,0.07,,1.01,0.01,1,0,0.18,
4856122,Magic,Strixhaven: School of Mages,Mage Hunter,,76,U,Near Mint,0.03,,1.01,0.02,9,0,0.18,
4877358,Magic,Strixhaven: School of Mages,Mage Hunters' Onslaught,,77,C,Near Mint,0.02,,1,0.01,13,0,0.18,
4852977,Magic,Strixhaven: School of Mages,Magma Opus,,203,M,Near Mint,4.51,4.75,4.38,3.39,2,0,4.74,
4855792,Magic,Strixhaven: School of Mages,Make Your Mark,,204,C,Near Mint,0.04,0.01,1,0.01,16,0,0.18,
4855797,Magic,Strixhaven: School of Mages,Make Your Mark,,204,C,Near Mint Foil,0.05,0.01,1,0.01,1,0,0.18,
4859701,Magic,Strixhaven: School of Mages,Manifestation Sage,,205,R,Near Mint,0.05,0.04,1,0.01,2,0,0.18,
4868443,Magic,Strixhaven: School of Mages,Mascot Exhibition,,5,M,Near Mint,0.28,0.25,1.16,0.17,2,0,0.25,
4867000,Magic,Strixhaven: School of Mages,Mascot Interception,,110,U,Near Mint,0.03,,1,0.01,8,0,0.18,
4855682,Magic,Strixhaven: School of Mages,Master Symmetrist,,138,U,Near Mint,0.04,,1,0.01,8,0,0.18,
4855687,Magic,Strixhaven: School of Mages,Master Symmetrist,,138,U,Near Mint Foil,0.06,,1.02,0.03,1,0,0.18,
4876148,Magic,Strixhaven: School of Mages,"Mavinda, Students' Advocate",,21,M,Near Mint,0.52,0.65,1.18,0.19,2,0,0.64,
4867220,Magic,Strixhaven: School of Mages,Mentor's Guidance,,46,U,Near Mint,0.04,0.01,1.02,0.03,5,0,0.18,
4870258,Magic,Strixhaven: School of Mages,Mercurial Transformation,,47,U,Near Mint,0.04,0.01,1,0.01,10,0,0.18,
4880198,Magic,Strixhaven: School of Mages,"Mila, Crafty Companion (Borderless)",,277,M,Near Mint,3.17,3.3,3.48,2.49,1,0,3.29,
4879418,Magic,Strixhaven: School of Mages,Moldering Karok,,206,C,Near Mint,0.02,,1,0.01,15,0,0.18,
4879423,Magic,Strixhaven: School of Mages,Moldering Karok,,206,C,Near Mint Foil,0.05,0.03,1.02,0.03,1,0,0.18,
4875378,Magic,Strixhaven: School of Mages,Mortality Spear,,207,U,Near Mint,0.17,,1.09,0.1,6,0,0.18,
4856822,Magic,Strixhaven: School of Mages,Multiple Choice,,48,R,Near Mint,0.12,,1.08,0.09,4,0,0.18,
4838486,Magic,Strixhaven: School of Mages,Necroblossom Snarl,,269,R,Near Mint,0.91,1,1.53,0.54,3,0,0.99,
4838491,Magic,Strixhaven: School of Mages,Necroblossom Snarl,,269,R,Near Mint Foil,0.86,1.48,1.68,0.69,1,0,1.47,
4869263,Magic,Strixhaven: School of Mages,Necrotic Fumes,,78,U,Near Mint,0.02,0.01,1,0.01,11,0,0.18,
4868833,Magic,Strixhaven: School of Mages,Needlethorn Drake,,208,C,Near Mint,0.02,,1,0.01,18,0,0.18,
4866890,Magic,Strixhaven: School of Mages,Novice Dissector,,79,C,Near Mint,0.02,,1,0.01,16,0,0.18,
4863125,Magic,Strixhaven: School of Mages,Oggyar Battle-Seer,,209,C,Near Mint,0.02,0.01,1,0.01,16,0,0.18,
4877688,Magic,Strixhaven: School of Mages,Oriq Loremage,,80,R,Near Mint,0.5,,1.38,0.39,2,0,0.39,
4871788,Magic,Strixhaven: School of Mages,Overgrown Arch,,139,U,Near Mint,0.05,,1.01,0.02,9,0,0.18,
4864465,Magic,Strixhaven: School of Mages,Owlin Shieldmage,,210,C,Near Mint,0.02,,1,0.01,17,0,0.18,
4864470,Magic,Strixhaven: School of Mages,Owlin Shieldmage,,210,C,Near Mint Foil,0.02,0.01,1.01,0.02,1,0,0.18,
4836686,Magic,Strixhaven: School of Mages,Pest Summoning,,211,C,Near Mint,0.06,0.02,1,0.01,17,0,0.18,
4899264,Magic,Strixhaven: School of Mages,Pest Token,,5,T,Near Mint,0.39,0.31,1.23,0.24,20,0,0.31,
4880708,Magic,Strixhaven: School of Mages,Pestilent Cauldron,,154,R,Near Mint,0.12,0.07,1.04,0.04,3,0,0.18,
